date,positive_count,positive_score,negative_count,negative_score,total_count,total_score
2016-06-21,83,0.643253009,34,0.2914705904,117,0.5402314778
2016-06-22,112,0.7416071407,20,0.3399999961,132,0.629357798
2016-06-23,78,0.7037179592,26,0.2769230772,104,0.5194059382
2016-06-24,38,0.7286842058,47,0.2265957483,85,0.5365116252
2016-06-26,66,0.6677272699,7,0.358571423,73,0.5901666549
2016-06-27,67,0.7358208886,46,0.2034782597,113,0.5624434403
2016-06-28,76,0.7243421062,21,0.2885714276,97,0.5394618815
2016-06-29,58,0.6789655151,32,0.2799999991,90,0.4665934046
2016-06-30,70,0.6964285714,82,0.280243904,152,0.5141666662
2016-07-01,83,0.6331325209,93,0.2168817193,176,0.5972727266
2016-07-03,65,0.7009230806,2,0.1499999985,67,0.5497260214
2016-07-04,104,0.640865385,32,0.3459374985,136,0.630259068
2016-07-05,122,0.6731147512,130,0.2872307689,252,0.4466511623
2016-07-06,137,0.6829197033,220,0.2382272719,357,0.5150704205
2016-07-07,145,0.64813793,106,0.2605660375,251,0.3821093751
2016-07-08,61,0.6777049137,125,0.3249599997,186,0.506858639
2016-07-10,39,0.7038461597,86,0.256627906,125,0.5304761919
2016-07-11,72,0.6808333306,5,0.4600000083,77,0.594133338
2016-07-12,36,0.7094444335,27,0.2703703658,63,0.490329666
2016-07-13,64,0.6389062507,88,0.3270454556,152,0.4796022728
2016-07-14,60,0.7553333312,56,0.2737499993,116,0.6367808208
2016-07-15,51,0.6664705919,115,0.2356521728,166,0.6294898035
2016-07-16,2,0.6049999893,265,0.2651320752,267,0.5451562473
2016-07-17,55,0.6679999958,129,0.2716279071,184,0.2265957483
2016-07-18,68,0.699558816,14,0.2121428624,82,0.6380821887
2016-07-19,84,0.6866666696,23,0.360869565,107,0.5191150397
2016-07-20,120,0.660999995,100,0.1792999993,220,0.6300000005
2016-07-21,67,0.6204477593,286,0.193916085,353,0.5371111094
2016-07-22,3,0.7333333095,160,0.2218749996,163,0.4719078956
2016-07-24,9,0.7177777621,146,0.2325342443,155,0.4131818132
2016-07-25,8,0.6524999961,135,0.2077037028,143,0.1499999985
2016-07-26,110,0.7039090904,15,0.2020000001,125,0.583814435
2016-07-27,170,0.6929411758,14,0.155000002,184,0.4444017094
2016-07-28,163,0.6304294474,110,0.2351818185,273,0.3933625715
2016-07-29,44,0.693409092,359,0.2404178281,403,0.4986831248
2016-07-30,5,0.8399999738,155,0.2825806459,160,0.498518518
2016-07-31,45,0.7488888754,182,0.2874175818,227,0.4313605417
2016-08-01,107,0.6883177635,96,0.3611458306,203,0.4600000083
2016-08-02,35,0.6382857016,17,0.3352941156,52,0.5265151531
2016-08-03,80,0.6346250005,108,0.240462963,188,0.4862499993
2016-08-04,45,0.6693333348,54,0.2925925941,99,0.4442391257
2016-08-05,62,0.5801612802,85,0.3342352934,147,0.3798324018
2016-08-07,35,0.656571424,35,0.2725714277,70,0.3556307686
2016-08-08,56,0.7228571421,31,0.367419355,87,0.3835000012
2016-08-09,34,0.6438235307,26,0.3173076952,60,0.2612500032
2016-08-10,77,0.6564935043,36,0.2633333339,113,0.5774358945
2016-08-11,132,0.655075756,36,0.288055558,168,0.3898809487
2016-08-12,47,0.7274468123,96,0.2196874987,143,0.3057837853
2016-08-13,31,0.8070967697,119,0.3174789926,150,0.4100714262
2016-08-14,1,0.5400000215,40,0.2575000031,41,0.3545539885
2016-08-15,146,0.6658904067,10,0.2950000018,156,0.2191304334
2016-08-16,69,0.6359420255,23,0.3060869612,92,0.2020000001
2016-08-17,39,0.661538468,62,0.3530645149,101,0.3752173864
2016-08-18,115,0.7329565209,92,0.2395652172,207,0.263474576
2016-08-19,118,0.6933050868,62,0.26032258,180,0.3491258001
2016-08-20,9,0.7544444468,64,0.2203124992,73,0.4972307692
2016-08-21,32,0.669062503,93,0.2359139792,125,0.4494782603
2016-08-22,73,0.6682191744,8,0.1599999983,81,0.465571427
2016-08-23,52,0.6373076874,22,0.2890909039,74,0.8399999738
2016-08-24,67,0.6264179153,93,0.2504301086,160,0.6354838606
2016-08-25,88,0.6745454581,114,0.2200877184,202,0.4633488404
2016-08-26,71,0.5998591504,239,0.2863598324,310,0.4285393217
2016-08-27,1,0.699999988,251,0.2540637457,252,0.4798787877
2016-08-28,41,0.6680487758,89,0.2979775259,130,0.4957500004
2016-08-29,93,0.6637634449,81,0.1909876548,174,0.5092473051
2016-08-30,138,0.6621739108,79,0.2501265812,217,0.5119672117
2016-08-31,91,0.6851648341,70,0.2085714277,161,0.543043478
2016-09-01,144,0.6740972205,82,0.258780489,226,0.4608571447
2016-09-02,72,0.7009722177,99,0.2980808089,171,0.4141040445
2016-09-03,6,0.6316666603,188,0.2097340426,194,0.49501992
2016-09-04,61,0.6891803282,184,0.2353804344,245,0.5113793138
2016-09-05,136,0.6518382391,12,0.2383333376,148,0.682195119
2016-09-06,72,0.6677777709,43,0.2302325583,115,0.3158333387
2016-09-07,127,0.6757480272,192,0.306354168,319,0.5726442274
2016-09-08,64,0.657812494,72,0.2626388902,136,0.4094409922
2016-09-09,45,0.6657777839,94,0.26968085,139,0.4152475267
2016-09-11,30,0.6189999918,47,0.3131914912,77,0.5496648036
2016-09-12,121,0.656280991,94,0.2084042551,215,0.4917061626
2016-09-13,107,0.564112143,56,0.1778571435,163,0.4747058828
2016-09-14,11,0.6963636333,48,0.2752083322,59,0.5142592587
2016-09-15,6,0.7200000087,274,0.2681386847,280,0.4341566255
2016-09-16,3,0.6633333365,191,0.2407329862,194,0.3507831304
2016-09-17,6,0.5683333178,30,0.3313333307,36,0.3608169943
2016-09-18,66,0.6609090829,22,0.1386363606,88,0.3632153407
2016-09-19,40,0.6597500011,64,0.2999999999,104,0.4319374968
2016-09-20,57,0.6184210453,4,0.3524999991,61,0.1971951222
2016-09-21,53,0.6518867961,54,0.3255555552,107,0.3929166643
2016-09-22,131,0.6419083981,89,0.2731460684,220,0.4682822105
2016-09-23,47,0.6917021325,89,0.2805617998,136,0.5118181809
2016-09-24,10,0.7099999785,83,0.2550602413,93,0.4834736841
2016-09-25,51,0.731960784,135,0.2868148167,186,0.4111445776
2016-09-26,28,0.637500003,103,0.1880582513,131,0.3663281234
2016-09-27,80,0.7229999974,8,0.1637500045,88,0.3694444452
2016-09-28,146,0.7067808223,158,0.2572151884,304,0.4994230772
2016-09-29,143,0.691398597,390,0.1883333336,533,0.4496036607
2016-09-30,65,0.6719999891,166,0.1655421691,231,0.4652083306
2016-10-01,11,0.6318181645,412,0.1707524275,423,0.503031671
2016-10-02,3,0.5266666611,269,0.194126395,272,0.5118918891
2016-10-03,79,0.6507594865,97,0.1586597951,176,0.356474822
2016-10-04,214,0.690607473,11,0.093636363,225,0.1778571435
2016-10-05,157,0.7155414003,56,0.2305357152,213,0.4074358936
2016-10-06,143,0.6672727241,74,0.282432434,217,0.3870379734
2016-10-07,150,0.649666663,253,0.2304347833,403,0.3568456364
2016-10-08,24,0.6241666575,380,0.1569473685,404,0.4292682899
2016-10-09,53,0.6320754661,397,0.2077581864,450,0.2632142852
2016-10-10,79,0.6260759446,243,0.2794650204,322,0.3162686568
2016-10-11,72,0.684027772,54,0.3518518521,126,0.4819999903
2016-10-12,136,0.6870588178,195,0.1948717952,331,0.5099999954
2016-10-13,118,0.6238983036,508,0.1972440936,626,0.3930232569
2016-10-14,104,0.6145192282,477,0.167610063,581,0.4124657518
2016-10-15,81,0.5980246906,561,0.262121212,642,0.409705884
2016-10-16,66,0.6098484785,460,0.2178478261,526,0.4616917308
2016-10-17,147,0.6334013554,207,0.2210628003,354,0.3458666674
2016-10-18,233,0.6905579421,197,0.2860406075,430,0.4672222123
2016-10-19,80,0.6471250042,100,0.2354999987,180,0.3730621997
2016-10-20,108,0.6396296289,194,0.2519587613,302,0.2184210531
2016-10-21,37,0.700270271,147,0.2669387769,184,0.3468292678
2016-10-22,7,0.6485714402,172,0.1306395346,179,0.3110035846
2016-10-23,66,0.6431818198,140,0.162571428,206,0.3667233
2016-10-24,76,0.7080263119,67,0.2698507467,143,0.364629626
2016-10-25,119,0.6806722774,6,0.374999995,125,0.3627272639
2016-10-26,180,0.6452222251,130,0.2279230786,310,0.2455932209
2016-10-27,245,0.6379591859,102,0.2427450986,347,0.472614376
2016-10-28,83,0.633614459,132,0.1944696964,215,0.4413062088
